title,sell_price,orig_price,rating,num_ratings
realme TechLife 280 L Frost Free Double Door 3 Star Refrigerator,"₹22,990","₹35,690",4.3,469 Ratings & 81 Reviews
SAMSUNG 394 L Frost Free Double Door 2 Star Refrigerator,"₹39,590","₹49,990",4.4,"1,920 Ratings & 220 Reviews"
SAMSUNG 225 L Direct Cool Single Door 4 Star Refrigerator,"₹16,990","₹23,990",4.5,174 Ratings & 22 Reviews
Haier 256 l Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,"₹26,990","₹31,050",4.4,"2,819 Ratings & 371 Reviews"
LG 260 L Frost Free Double Door 2 Star Refrigerator,"₹24,490","₹33,299",4.2,24 Ratings & 1 Reviews
SAMSUNG 253 l Frost Free Double Door 1 Star Refrigerator,"₹20,390","₹25,990",4.4,883 Ratings & 62 Reviews
LG 215 L Direct Cool Single Door 4 Star Refrigerator,"₹18,490","₹22,490",4.5,"1,312 Ratings & 121 Reviews"
Haier 376 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,"₹45,990","₹76,100",,
LG 360 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter Technology & Wi-F...,"₹39,990","₹57,599",4.7,16 Ratings & 3 Reviews
LG 190 L Direct Cool Single Door 2 Star Refrigerator,"₹15,290","₹19,499",4.8,5 Ratings & 0 Reviews
SAMSUNG 324 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹31,990","₹41,990",4.4,"4,757 Ratings & 572 Reviews"
Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹14,990","₹24,390",4.4,"1,831 Ratings & 214 Reviews"
SAMSUNG 580 L Frost Free French Door Bottom Mount Convertible Refrigerator,"₹71,990","₹87,990",4.3,265 Ratings & 35 Reviews
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹16,590","₹22,300",4.4,"3,272 Ratings & 452 Reviews"
Haier 182 L Direct Cool Single Door 2 Star Refrigerator,"₹11,990","₹19,000",4.4,283 Ratings & 26 Reviews
Whirlpool 570 L Frost Free Side by Side Inverter Technology Star Refrigerator,"₹62,990","₹88,200",4.3,864 Ratings & 92 Reviews
,,,,
,,,,
SAMSUNG 415 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹45,490","₹54,990",4.4,"1,920 Ratings & 220 Reviews"
LG 423 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter with Door Cooling...,"₹49,990","₹67,999",4.1,16 Ratings & 0 Reviews
Haier 258 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹26,490","₹46,900",,
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,490","₹17,150",4.3,"6,269 Ratings & 512 Reviews"
Godrej 255 L Frost Free Double Door 2 Star Refrigerator,"₹19,990","₹27,000",4.3,658 Ratings & 68 Reviews
BOSCH 263 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹28,990","₹41,590",4.2,93 Ratings & 11 Reviews
Godrej 343 L Frost Free Double Door 3 Star Refrigerator,"₹31,990","₹49,820",3.6,9 Ratings & 0 Reviews
MarQ by Flipkart 90 L Direct Cool Single Door 1 Star Refrigerator,"₹8,499","₹10,999",3.9,74 Ratings & 10 Reviews
SAMSUNG 225 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹21,599","₹25,990",4.3,37 Ratings & 1 Reviews
realme TechLife 260 L Frost Free Double Door 3 Star Refrigerator,"₹19,990","₹31,990",4.3,469 Ratings & 81 Reviews
BOSCH 415 L Frost Free Double Door 3 Star Refrigerator,"₹52,000","₹70,490",3.7,6 Ratings & 0 Reviews
Haier 195 L Direct Cool Single Door 5 Star Refrigerator,"₹15,490","₹23,700",4.4,"24,181 Ratings & 2,673 Reviews"
Haier 346 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹34,990","₹54,600",4.5,712 Ratings & 103 Reviews
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹14,990","₹19,650",4.3,"8,709 Ratings & 840 Reviews"
